clip,cfg,alpha,schedule,axis_id,s,a_independent,a_fork,commit_gain
1002,4.5,0.8,sqrt_down,presence,0.05,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.15,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.25,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.35,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.45,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.6,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.75,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,presence,0.9,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.05,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.15,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.25,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.35,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.45,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.6,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.75,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,timing,0.9,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.05,1.0,0.5909090909090909,0.0
1002,4.5,0.8,sqrt_down,class,0.15,1.0,0.8181818181818182,0.0
1002,4.5,0.8,sqrt_down,class,0.25,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.35,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.45,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.6,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.75,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,class,0.9,1.0,1.0,0.0
1002,4.5,0.8,sqrt_down,material,0.05,0.8922428505435168,0.9554140214534322,
1002,4.5,0.8,sqrt_down,material,0.15,0.8922428505435168,0.9599686808012081,
1002,4.5,0.8,sqrt_down,material,0.25,0.8922428505435168,0.9630251978187477,
1002,4.5,0.8,sqrt_down,material,0.35,0.8922428505435168,0.9742411427029462,
1002,4.5,0.8,sqrt_down,material,0.45,0.8922428505435168,0.977087274731108,
1002,4.5,0.8,sqrt_down,material,0.6,0.8922428505435168,0.9809037236960411,
1002,4.5,0.8,sqrt_down,material,0.75,0.8922428505435168,0.9862906736258612,
1002,4.5,0.8,sqrt_down,material,0.9,0.8922428505435168,0.9924960270253785,
1003,4.5,0.8,sqrt_down,presence,0.05,0.475,0.8333333333333334,0.6825396825396827
1003,4.5,0.8,sqrt_down,presence,0.15,0.475,0.5909090909090909,0.22077922077922088
1003,4.5,0.8,sqrt_down,presence,0.25,0.475,0.5909090909090909,0.22077922077922088
1003,4.5,0.8,sqrt_down,presence,0.35,0.475,1.0,1.0
1003,4.5,0.8,sqrt_down,presence,0.45,0.475,0.5909090909090909,0.22077922077922088
1003,4.5,0.8,sqrt_down,presence,0.6,0.475,0.8333333333333334,0.6825396825396827
1003,4.5,0.8,sqrt_down,presence,0.75,0.475,1.0,1.0
1003,4.5,0.8,sqrt_down,presence,0.9,0.475,1.0,1.0
1003,4.5,0.8,sqrt_down,timing,0.05,1.0,0.8333333333333334,0.0
1003,4.5,0.8,sqrt_down,timing,0.15,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.25,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.35,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.45,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.6,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.75,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,timing,0.9,1.0,1.0,0.0
1003,4.5,0.8,sqrt_down,class,0.05,0.14545454545454545,0.3,0.18085106382978725
1003,4.5,0.8,sqrt_down,class,0.15,0.14545454545454545,0.2,0.06382978723404258
1003,4.5,0.8,sqrt_down,class,0.25,0.14545454545454545,0.21428571428571427,0.08054711246200608
1003,4.5,0.8,sqrt_down,class,0.35,0.14545454545454545,0.5,0.41489361702127664
1003,4.5,0.8,sqrt_down,class,0.45,0.14545454545454545,1.0,1.0
1003,4.5,0.8,sqrt_down,class,0.6,0.14545454545454545,0.35714285714285715,0.24772036474164136
1003,4.5,0.8,sqrt_down,class,0.75,0.14545454545454545,1.0,1.0
1003,4.5,0.8,sqrt_down,class,0.9,0.14545454545454545,1.0,1.0
1003,4.5,0.8,sqrt_down,material,0.05,0.777472853249998,0.8852338025806169,
1003,4.5,0.8,sqrt_down,material,0.15,0.777472853249998,0.8773673665475797,
1003,4.5,0.8,sqrt_down,material,0.25,0.777472853249998,0.90708250269292,
1003,4.5,0.8,sqrt_down,material,0.35,0.777472853249998,0.931629237812068,
1003,4.5,0.8,sqrt_down,material,0.45,0.777472853249998,0.9346463961852275,
1003,4.5,0.8,sqrt_down,material,0.6,0.777472853249998,0.9612508102677607,
1003,4.5,0.8,sqrt_down,material,0.75,0.777472853249998,0.9744234641908707,
1003,4.5,0.8,sqrt_down,material,0.9,0.777472853249998,0.9864842285248456,
1048,4.5,0.8,sqrt_down,presence,0.05,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.15,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.25,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.35,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.45,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.6,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.75,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,presence,0.9,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.05,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.15,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.25,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.35,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.45,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.6,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.75,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,timing,0.9,1.0,1.0,0.0
1048,4.5,0.8,sqrt_down,class,0.05,0.5384615384615384,0.75,0.45833333333333337
1048,4.5,0.8,sqrt_down,class,0.15,0.5384615384615384,0.4,0.0
1048,4.5,0.8,sqrt_down,class,0.25,0.5384615384615384,1.0,1.0
1048,4.5,0.8,sqrt_down,class,0.35,0.5384615384615384,0.6666666666666666,0.27777777777777773
1048,4.5,0.8,sqrt_down,class,0.45,0.5384615384615384,0.5,0.0
1048,4.5,0.8,sqrt_down,class,0.6,0.5384615384615384,0.4,0.0
1048,4.5,0.8,sqrt_down,class,0.75,0.5384615384615384,1.0,1.0
1048,4.5,0.8,sqrt_down,class,0.9,0.5384615384615384,1.0,1.0
1048,4.5,0.8,sqrt_down,material,0.05,0.8542773363675202,0.8908472621147164,
1048,4.5,0.8,sqrt_down,material,0.15,0.8542773363675202,0.9177377243872931,
1048,4.5,0.8,sqrt_down,material,0.25,0.8542773363675202,0.92705752983934,
1048,4.5,0.8,sqrt_down,material,0.35,0.8542773363675202,0.9497911434240517,
1048,4.5,0.8,sqrt_down,material,0.45,0.8542773363675202,0.9704368616152658,
1048,4.5,0.8,sqrt_down,material,0.6,0.8542773363675202,0.969102551121015,
1048,4.5,0.8,sqrt_down,material,0.75,0.8542773363675202,0.9850043245355272,
1048,4.5,0.8,sqrt_down,material,0.9,0.8542773363675202,0.9920915726545934,
1094,4.5,0.8,sqrt_down,presence,0.05,0.6,0.45454545454545453,0.0
1094,4.5,0.8,sqrt_down,presence,0.15,0.6,0.5151515151515151,0.0
1094,4.5,0.8,sqrt_down,presence,0.25,0.6,0.5151515151515151,0.0
1094,4.5,0.8,sqrt_down,presence,0.35,0.6,0.4696969696969697,0.0
1094,4.5,0.8,sqrt_down,presence,0.45,0.6,0.4696969696969697,0.0
1094,4.5,0.8,sqrt_down,presence,0.6,0.6,0.5909090909090909,0.0
1094,4.5,0.8,sqrt_down,presence,0.75,0.6,1.0,1.0
