axis,n_clips,is_embedding,conditioning,cond_lo,cond_hi,seed,seed_lo,seed_hi,trajectory,traj_lo,traj_hi,residual,s_commit,scommit_lo,scommit_hi
presence,200,False,0.8132916666666666,0.787640625,0.8343395833333334,0.11229166666666666,0.09136458333333333,0.13394479166666667,0.08033333333333335,0.05798333333333333,0.10466666666666667,0.05,0.1380952380952381,0.11008928571428575,0.1706547619047619
timing,200,False,0.90275,0.8802062500000001,0.9220041666666667,0.09108333333333335,0.07170416666666667,0.11229375,0.022666666666666665,0.009158333333333334,0.03850833333333333,0.008,0.0628205128205128,0.051282051282051266,0.07503205128205125
class,200,False,0.37767965367965367,0.3417258557414808,0.41299031038406037,0.36171167188116343,0.31787605128706825,0.40275915115957484,0.26883116883116887,0.21523268398268397,0.3243560606060606,0.025786163522012576,0.17765363128491624,0.15473463687150837,0.20252793296089383
material,200,True,0.6370244393998554,0.6218057324654565,0.6535269342635074,0.2727149903108898,0.25781389333641147,0.28691475122291726,0.08450002900097014,0.07881888331621549,0.09111263582973864,0.005760541288284655,0.596,0.5747375,0.61713125
