axis,s,mean_a_fork,mean_commit_gain,n
class,0.05,0.567,0.352,197
class,0.15,0.595,0.398,194
class,0.25,0.644,0.441,192
class,0.35,0.709,0.530,192
class,0.45,0.762,0.600,193
class,0.6,0.808,0.668,188
class,0.75,0.878,0.771,184
class,0.9,0.918,0.827,175
material,0.05,0.843,nan,200
material,0.15,0.868,nan,200
material,0.25,0.896,nan,200
material,0.35,0.920,nan,200
material,0.45,0.937,nan,200
material,0.6,0.958,nan,200
material,0.75,0.972,nan,200
material,0.9,0.987,nan,200
presence,0.05,0.876,0.386,200
presence,0.15,0.890,0.425,200
presence,0.25,0.893,0.423,200
presence,0.35,0.909,0.453,200
presence,0.45,0.913,0.469,200
presence,0.6,0.918,0.489,200
presence,0.75,0.927,0.511,200
presence,0.9,0.946,0.548,200
timing,0.05,0.961,0.340,200
timing,0.15,0.963,0.327,200
timing,0.25,0.961,0.327,200
timing,0.35,0.977,0.349,200
timing,0.45,0.979,0.353,200
timing,0.6,0.985,0.355,200
timing,0.75,0.986,0.365,200
timing,0.9,0.993,0.388,200
