axis,n_clips,is_embedding,conditioning,cond_lo,cond_hi,seed,seed_lo,seed_hi,trajectory,traj_lo,traj_hi,residual,s_commit,scommit_lo,scommit_hi
presence,200,False,0.8132916666666666,0.7877447916666668,0.8356885416666666,0.09862878787878789,0.08051240530303032,0.11829318181818181,0.08227272727272726,0.06188825757575757,0.10469696969696969,0.05356060606060606,0.2141592920353982,0.16813053097345135,0.268141592920354
timing,200,False,0.90275,0.8793041666666668,0.9249177083333334,0.0826098484848485,0.06265937499999999,0.10475066287878787,0.032878787878787875,0.018628787878787877,0.04894507575757576,0.006893939393939394,0.11363636363636369,0.07530844155844153,0.1591071428571429
class,200,False,0.37767965367965367,0.3441077974109224,0.41035634643134644,0.2307280424031693,0.19632683130462317,0.2653564086083121,0.3498287472425403,0.30981472151730766,0.3930266540611368,0.08211090496804782,0.34593023255813954,0.3066787790697674,0.38575581395348835
material,200,True,0.6370244393998554,0.6220402822540605,0.652794031714176,0.2065956220571949,0.1937299052660374,0.21981310237368729,0.14393842445964064,0.13582691736649696,0.1522075047702093,0.013312358327614798,0.6382499999999999,0.6219937499999999,0.6555
