axis,n_clips,is_embedding,conditioning,cond_lo,cond_hi,seed,seed_lo,seed_hi,trajectory,traj_lo,traj_hi,residual,s_commit,scommit_lo,scommit_hi
presence,200,False,0.8334166666666667,0.8041916666666666,0.8579187500000001,0.08349242424242424,0.06612357954545456,0.10583106060606061,0.07151515151515152,0.050897727272727275,0.09155492424242424,0.05712121212121211,0.20000000000000007,0.14963607594936715,0.25223101265822784
timing,200,False,0.8250416666666667,0.7936635416666666,0.8583020833333334,0.1121628787878788,0.08772054924242424,0.13870359848484848,0.07568181818181818,0.05530303030303029,0.10163825757575758,0.01863636363636364,0.18275862068965518,0.1344827586206897,0.23535919540229883
class,200,False,0.5080090504332928,0.4699437508339024,0.5476997931922174,0.181937991461801,0.15461715423024947,0.21435549055588737,0.28463419481383556,0.24220743577779508,0.3275489065159724,0.06088158105701964,0.3264900662251655,0.27826986754966887,0.3693956953642384
material,200,True,0.7840692139781404,0.7701972418824129,0.7999141056823196,0.1190526640904169,0.10726651683130554,0.1310748664671493,0.08874331170144555,0.0826878514824782,0.09491427984588616,0.008305771004931487,0.64775,0.6252500000000001,0.66925
