clip,axis_id,a_independent
643,timing,1.0
1726,class,1.0
1726,material,0.7630625624421415
1726,presence,0.4642857142857143
1726,timing,0.75
646,class,0.3
646,material,0.6810330864136167
646,presence,0.4642857142857143
646,timing,1.0
1956,class,1.0
1956,material,0.6891201028905004
1956,presence,1.0
1956,timing,1.0
2457,class,0.2
2457,material,0.5663069597526693
2457,presence,1.0
2457,timing,1.0
1434,class,0.16666666666666666
1434,material,0.827381563305931
1434,presence,1.0
1434,timing,1.0
194,class,0.14285714285714285
194,material,0.8527849601957217
194,presence,1.0
194,timing,0.75
3985,class,0.2
3985,material,0.6266305470442377
3985,presence,1.0
3985,timing,0.75
1844,class,0.7142857142857143
1844,material,0.5625781695878436
1844,presence,0.5714285714285714
1844,timing,1.0
2029,class,0.14285714285714285
2029,material,0.6762117518275318
2029,presence,0.75
2029,timing,1.0
4635,class,0.4666666666666667
4635,material,0.5802214129335731
4635,presence,0.75
4635,timing,1.0
3657,class,0.0
3657,material,0.6907022543758298
3657,presence,0.42857142857142855
3657,timing,1.0
1980,class,0.7142857142857143
1980,material,0.5352000710891466
1980,presence,1.0
1980,timing,1.0
905,class,0.5
905,material,0.45012388341660314
905,presence,0.4642857142857143
905,timing,0.5357142857142857
195,class,1.0
195,material,0.836792459810873
195,presence,1.0
195,timing,0.5714285714285714
3540,class,0.4666666666666667
3540,material,0.5950288378477698
3540,presence,1.0
3540,timing,1.0
4944,class,0.26666666666666666
4944,material,0.5778356572309328
4944,presence,1.0
4944,timing,1.0
3873,class,0.2
3873,material,0.4924210294381588
3873,presence,0.42857142857142855
3873,timing,1.0
4868,class,1.0
4868,material,0.6207970634919006
4868,presence,1.0
4868,timing,1.0
1629,class,1.0
1629,material,0.6892431415226697
1629,presence,0.75
1629,timing,0.75
3491,class,0.13333333333333333
3491,material,0.8442287229471352
3491,presence,1.0
3491,timing,1.0
1893,class,0.6
1893,material,0.35394746902766744
1893,presence,0.75
1893,timing,1.0
1502,class,0.3
1502,material,0.6097575878256977
1502,presence,1.0
1502,timing,1.0
477,class,0.4
477,material,0.6197131516936863
477,presence,0.4642857142857143
477,timing,1.0
4077,class,0.47619047619047616
4077,material,0.6289508099136973
4077,presence,0.4642857142857143
4077,timing,1.0
856,class,0.6
856,material,0.6830381538539985
856,presence,1.0
856,timing,1.0
4870,class,0.4
