video_id,base_seed,progress,a_independent,a_fork_confident,commitment_gain,n_forks,n_confident_forks,fork_abstention_rate,fork_majority_label,fork_majority_share
1002,8,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,8,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,8,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,8,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.05,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.15,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,9,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.05,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.15,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,10,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,11,0.05,1.0,0.8181818181818182,0.0,12,11,0.08333333333333337,impact_friction,0.9090909090909091
1002,11,0.15,1.0,0.8181818181818182,0.0,12,11,0.08333333333333337,impact_friction,0.9090909090909091
1002,11,0.25,1.0,1.0,0.0,12,8,0.33333333333333337,impact_friction,1.0
1002,11,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,11,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,11,0.6,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,11,0.75,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,11,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.05,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,12,0.15,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,12,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.45,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,12,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,13,0.05,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,13,0.15,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,13,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,13,0.35,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,13,0.45,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,13,0.6,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,13,0.75,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,13,0.9,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.05,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.15,1.0,1.0,0.0,12,11,0.08333333333333337,impact_friction,1.0
1002,14,0.25,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
1002,14,0.35,1.0,1.0,0.0,12,12,0.0,impact_friction,1.0
