clip,cfg,axis_id,s,a_fork,a_independent,commit_gain
1252,1.0,class,0.05,1.000000,0.000000,1.000000
1252,1.0,class,0.3,1.000000,0.000000,1.000000
1252,1.0,class,0.6,1.000000,0.000000,1.000000
1252,1.0,class,0.9,1.000000,0.000000,1.000000
1252,1.0,presence,0.05,1.000000,1.000000,0.000000
1252,1.0,presence,0.3,1.000000,1.000000,0.000000
1252,1.0,presence,0.6,1.000000,1.000000,0.000000
1252,1.0,presence,0.9,1.000000,1.000000,0.000000
1252,4.5,class,0.05,0.000000,0.000000,0.000000
1252,4.5,class,0.3,0.000000,0.000000,0.000000
1252,4.5,class,0.6,0.000000,0.000000,0.000000
1252,4.5,class,0.9,0.000000,0.000000,0.000000
1252,4.5,presence,0.05,1.000000,1.000000,0.000000
1252,4.5,presence,0.3,1.000000,1.000000,0.000000
1252,4.5,presence,0.6,1.000000,1.000000,0.000000
1252,4.5,presence,0.9,1.000000,1.000000,0.000000
1593,1.0,class,0.05,0.000000,0.000000,0.000000
1593,1.0,class,0.3,0.000000,0.000000,0.000000
1593,1.0,class,0.6,0.000000,0.000000,0.000000
1593,1.0,class,0.9,0.000000,0.000000,0.000000
1593,1.0,presence,0.05,0.750000,0.428571,0.562500
1593,1.0,presence,0.3,0.571429,0.428571,0.250000
1593,1.0,presence,0.6,1.000000,0.428571,1.000000
1593,1.0,presence,0.9,1.000000,0.428571,1.000000
1593,4.5,class,0.05,1.000000,0.000000,1.000000
1593,4.5,class,0.3,1.000000,0.000000,1.000000
1593,4.5,class,0.6,0.000000,0.000000,0.000000
1593,4.5,class,0.9,0.000000,0.000000,0.000000
1593,4.5,presence,0.05,1.000000,0.571429,1.000000
1593,4.5,presence,0.3,1.000000,0.571429,1.000000
1593,4.5,presence,0.6,1.000000,0.571429,1.000000
1593,4.5,presence,0.9,1.000000,0.571429,1.000000
1610,1.0,class,0.05,0.000000,0.000000,0.000000
1610,1.0,class,0.3,0.000000,0.000000,0.000000
1610,1.0,class,0.6,1.000000,0.000000,1.000000
1610,1.0,class,0.9,1.000000,0.000000,1.000000
1610,1.0,presence,0.05,1.000000,0.750000,1.000000
1610,1.0,presence,0.3,1.000000,0.750000,1.000000
1610,1.0,presence,0.6,1.000000,0.750000,1.000000
1610,1.0,presence,0.9,1.000000,0.750000,1.000000
1610,4.5,class,0.05,0.000000,0.000000,0.000000
1610,4.5,class,0.3,0.000000,0.000000,0.000000
1610,4.5,class,0.6,0.000000,0.000000,0.000000
1610,4.5,class,0.9,0.000000,0.000000,0.000000
1610,4.5,presence,0.05,0.750000,1.000000,0.000000
1610,4.5,presence,0.3,0.750000,1.000000,0.000000
1610,4.5,presence,0.6,0.750000,1.000000,0.000000
1610,4.5,presence,0.9,1.000000,1.000000,0.000000
2260,1.0,class,0.05,1.000000,0.000000,1.000000
2260,1.0,class,0.3,1.000000,0.000000,1.000000
2260,1.0,class,0.6,1.000000,0.000000,1.000000
2260,1.0,class,0.9,1.000000,0.000000,1.000000
2260,1.0,presence,0.05,1.000000,0.750000,1.000000
2260,1.0,presence,0.3,1.000000,0.750000,1.000000
2260,1.0,presence,0.6,1.000000,0.750000,1.000000
2260,1.0,presence,0.9,1.000000,0.750000,1.000000
2260,4.5,class,0.05,0.000000,1.000000,0.000000
2260,4.5,class,0.3,1.000000,1.000000,0.000000
2260,4.5,class,0.6,1.000000,1.000000,0.000000
2260,4.5,class,0.9,1.000000,1.000000,0.000000
2260,4.5,presence,0.05,1.000000,1.000000,0.000000
2260,4.5,presence,0.3,1.000000,1.000000,0.000000
2260,4.5,presence,0.6,1.000000,1.000000,0.000000
2260,4.5,presence,0.9,1.000000,1.000000,0.000000
2322,1.0,class,0.05,1.000000,1.000000,0.000000
2322,1.0,class,0.3,1.000000,1.000000,0.000000
2322,1.0,class,0.6,1.000000,1.000000,0.000000
2322,1.0,class,0.9,1.000000,1.000000,0.000000
2322,1.0,presence,0.05,1.000000,1.000000,0.000000
2322,1.0,presence,0.3,1.000000,1.000000,0.000000
2322,1.0,presence,0.6,1.000000,1.000000,0.000000
2322,1.0,presence,0.9,1.000000,1.000000,0.000000
2322,4.5,class,0.05,0.000000,0.000000,0.000000
2322,4.5,class,0.3,0.000000,0.000000,0.000000
2322,4.5,class,0.6,0.000000,0.000000,0.000000
2322,4.5,class,0.9,0.000000,0.000000,0.000000
2322,4.5,presence,0.05,0.464286,1.000000,0.000000
2322,4.5,presence,0.3,1.000000,1.000000,0.000000
2322,4.5,presence,0.6,0.750000,1.000000,0.000000
2322,4.5,presence,0.9,1.000000,1.000000,0.000000
2569,1.0,class,0.05,0.000000,1.000000,0.000000
2569,1.0,class,0.3,1.000000,1.000000,0.000000
2569,1.0,class,0.6,1.000000,1.000000,0.000000
2569,1.0,class,0.9,1.000000,1.000000,0.000000
2569,1.0,presence,0.05,1.000000,1.000000,0.000000
2569,1.0,presence,0.3,1.000000,1.000000,0.000000
2569,1.0,presence,0.6,1.000000,1.000000,0.000000
2569,1.0,presence,0.9,1.000000,1.000000,0.000000
2569,4.5,class,0.05,1.000000,0.000000,1.000000
2569,4.5,class,0.3,1.000000,0.000000,1.000000
2569,4.5,class,0.6,1.000000,0.000000,1.000000
2569,4.5,class,0.9,1.000000,0.000000,1.000000
2569,4.5,presence,0.05,1.000000,1.000000,0.000000
2569,4.5,presence,0.3,1.000000,1.000000,0.000000
2569,4.5,presence,0.6,1.000000,1.000000,0.000000
2569,4.5,presence,0.9,1.000000,1.000000,0.000000
2741,1.0,class,0.05,0.000000,0.000000,0.000000
2741,1.0,class,0.3,0.000000,0.000000,0.000000
2741,1.0,class,0.6,1.000000,0.000000,1.000000
2741,1.0,class,0.9,0.000000,0.000000,0.000000
2741,1.0,presence,0.05,0.571429,1.000000,0.000000
2741,1.0,presence,0.3,1.000000,1.000000,0.000000
2741,1.0,presence,0.6,1.000000,1.000000,0.000000
2741,1.0,presence,0.9,1.000000,1.000000,0.000000
2741,4.5,class,0.05,0.000000,1.000000,0.000000
2741,4.5,class,0.3,0.000000,1.000000,0.000000
2741,4.5,class,0.6,0.000000,1.000000,0.000000
2741,4.5,class,0.9,0.000000,1.000000,0.000000
2741,4.5,presence,0.05,1.000000,1.000000,0.000000
2741,4.5,presence,0.3,1.000000,1.000000,0.000000
2741,4.5,presence,0.6,1.000000,1.000000,0.000000
2741,4.5,presence,0.9,0.750000,1.000000,0.000000
2797,1.0,class,0.05,0.000000,1.000000,0.000000
2797,1.0,class,0.3,0.000000,1.000000,0.000000
2797,1.0,class,0.6,0.000000,1.000000,0.000000
2797,1.0,class,0.9,0.000000,1.000000,0.000000
2797,1.0,presence,0.05,1.000000,1.000000,0.000000
